date,ticpe_goudron_combustible,ticpe_white_spirit_combustible,ticpe_essences_speciales,ticpe_huiles_legeres_ess_avion,ticpe_sp95_sp98,ticpe_super_additif,ticpe_super_e10,ticpe_essence_normale,ticpe_carbu_petrole_lampant_cond,ticpe_carbu_petrole_lampant,ticpe_carbu_petrole_lampant_autres,ticpe_autres_huiles_moyennes,ticpe_gazole_cond,ticpe_fioul_domestique,maj_ticpe_die_als,maj_ticpe_die_aqui,maj_ticpe_die_auv,maj_ticpe_die_b_n,maj_ticpe_die_bourg,maj_ticpe_die_bre,maj_ticpe_die_cen,maj_ticpe_die_ch_ar,maj_ticpe_die_cor,maj_ticpe_die_f_c,maj_ticpe_die_h_n,maj_ticpe_die_idf,maj_ticpe_die_l_r,maj_ticpe_die_lim,maj_ticpe_die_lor,maj_ticpe_die_m_p,maj_ticpe_die_n_cal,maj_ticpe_die_p_loi,maj_ticpe_die_pic,maj_ticpe_die_p_c,maj_ticpe_die_r_a,maj_ticpe_die_paca,ticpe_diesel,ticpe_fioul_lourd,ticpe_fioul_lourd_cond,ticpe_fioul_lourd_hts,ticpe_fioul_lourd_bts,ticpe_propane_cond,ticpe_propane_autres,ticpe_butane_cond,ticpe_butane_autres,ticpe_autres_gaz_liq_cond,ticpe_autres_gaz_liq_autres,ticpe_gaz_naturels_gazeux,ticpe_gaz_naturels_gazeux_cond,maj_ticpe_super_als,maj_ticpe_super_aqui,maj_ticpe_super_auv,maj_ticpe_super_b_n,maj_ticpe_super_bourg,maj_ticpe_super_bre,maj_ticpe_super_cen,maj_ticpe_super_ch_ar,maj_ticpe_super_cor,maj_ticpe_super_f_c,maj_ticpe_super_h_n,maj_ticpe_super_idf,maj_ticpe_super_l_r,maj_ticpe_super_lim,maj_ticpe_super_lor,maj_ticpe_super_m_p,maj_ticpe_super_n_cal,maj_ticpe_super_p_loi,maj_ticpe_super_pic,maj_ticpe_super_p_c,maj_ticpe_super_r_a,maj_ticpe_super_paca,tgap_super95,tgap_super98,tgap_ars,tgap_e10,tgap_e85,tgap_gazole,tgap_b30,ticpe_emulsion_eau_gazole_cond,ticpe_emulsion_eau_gazole_autres,ticpe_super_e85,ticpe_carburant_ethanol_agricole,tx_spec_cigarettes,tx_spec_cigares,tx_spec_tabac_rouler,tx_spec_autres_tabac,tx_spec_tabac_priser,tx_spec_tabac_chiquer,tx_cigarettes,tx_cigares,tx_tabac_rouler,tx_autres_tabac,tx_tabac_priser,tx_tabac_chiquer,tx_reduit,tx_inter,tx_normal,tx_maj,tx_superreduit,tx_reduit2,tx_majtempo,fgao_contrib_assures,fgao_respo_accidents_non_assures_tx_normal,fgao_respo_accidents_non_assures_tx_reduit,fgao_contrib_assurances,taxe_assu_incendie_particuliers,taxe_assu_incendie_agricole,taxe_assu_incendie_caisse_dep,taxe_assu_incendie_industrie,taxe_assu_maladie_solidaire_responsable,taxe_assu_maladie_autres,taxe_assu_bateaux_sport_plaisance,taxe_assu_navig_fluviale_aerienne,taxe_assu_vie_et_assimiliees,taxe_rente_viagere_cond,taxe_assu_credit_export,contrib_secu_assu_auto,taxe_assu_vtm_particuliers,taxe_assu_protec_juridique,taxe_assu_vtm_lourds,taxe_assu_vtm_autres,taxe_autres_assu,taxe_rhum_dom,taxe_autres_alcools,taxe_bouilleurs_cru,taxe_ajout_vins,taxe_aperitifs_base_divers_alcools,droit_boiss_non_alcool,cotis_secu_alcool,coti_secu_alcool_tx_plein,coti_secu_alcool_inter_tx_plein,taxe_premix_decil_pur,taxe_premix_decil_tot,taxe_vins_mousseux,taxe_vins_tranquilles,taxe_boiss_fermen_sauf_vin_biere,taxe_cidre_poire_hydromel,exoneration_taxe_vins,exoneration_taxe_petillants,taxe_boiss_sucrees_1kg,taxe_boiss_sucrees_2kg,taxe_boiss_sucrees_3kg,taxe_boiss_sucrees_4kg,taxe_boiss_sucrees_5kg,taxe_boiss_sucrees_6kg,taxe_boiss_sucrees_7kg,taxe_boiss_sucrees_8kg,taxe_boiss_sucrees_9kg,taxe_boiss_sucrees_10kg,taxe_boiss_sucrees_11kg,taxe_boiss_sucrees_12kg,taxe_boiss_sucrees_13kg,taxe_boiss_sucrees_14kg,taxe_boiss_sucrees_15kg,taxe_boiss_sucrees_kg_sup_15kg,taxe_vdn_vdl,taxe_autres_produits_inter_alcool,taxe_boiss_sucrees_edulcorees,taxe_boiss_sucrees_edulcorees_mayotte,taxe_boiss_edulcorees,taxe_boiss_sucrees,taxe_boiss_energie,taxe_bieres_inf_28,taxe_biere_sup_28,taxe_bieres_inf_46,taxe_autres_bieres,taxe_brasserie_inf_10,taxe_brasserie_10_50,taxe_brasserie_50_200,cspe,cta,ticgn,ctssg,plafond_tcfe
1995-08,1.15,,56.09,30.28,54.46,58.47,,56.09,2.11,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,32.59,,,2.17,1.57,,,,,3.74,37.45,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1995-09,1.15,,56.09,30.28,54.46,58.47,,56.09,2.11,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,32.59,,,2.17,1.57,,,,,3.74,37.45,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1995-10,1.15,,56.09,30.28,54.46,58.47,,56.09,2.11,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,32.59,,,2.17,1.57,,,,,3.74,37.45,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1995-11,1.15,,56.09,30.28,54.46,58.47,,56.09,2.11,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,32.59,,,2.17,1.57,,,,,3.74,37.45,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1995-12,1.15,,56.09,30.28,54.46,58.47,,56.09,2.11,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,32.59,,,2.17,1.57,,,,,3.74,37.45,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-01,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-02,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-03,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-04,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-05,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-06,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-07,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-08,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-09,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-10,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-11,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1996-12,1.17,,58.07,30.85,56.44,60.45,,58.07,2.14,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,34.57,,,2.21,1.6,,,,,3.81,11.33,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,795.02,1381.19,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,0.95,1.91,,,,,,,,,,
1997-01,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-02,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-03,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-04,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-05,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-06,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-07,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-08,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-09,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-10,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-11,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1997-12,1.19,,58.99,31.53,57.36,61.51,,58.99,2.19,,,,7.68,,,,,,,,,,,,,,,,,,,,,,,,35.49,,,2.26,1.63,,,,,3.89,11.57,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-01,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-02,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-03,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-04,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-05,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-06,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-07,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
